,name,id,color,type,swap
0,nose,0,"[51, 153, 255]",upper,
1,left_eye,1,"[51, 153, 255]",upper,right_eye
2,right_eye,2,"[51, 153, 255]",upper,left_eye
3,left_ear,3,"[51, 153, 255]",upper,right_ear
4,right_ear,4,"[51, 153, 255]",upper,left_ear
5,left_shoulder,5,"[0, 255, 0]",upper,right_shoulder
6,right_shoulder,6,"[255, 128, 0]",upper,left_shoulder
7,left_elbow,7,"[0, 255, 0]",upper,right_elbow
8,right_elbow,8,"[255, 128, 0]",upper,left_elbow
9,left_wrist,9,"[0, 255, 0]",upper,right_wrist
10,right_wrist,10,"[255, 128, 0]",upper,left_wrist
11,left_hip,11,"[0, 255, 0]",lower,right_hip
12,right_hip,12,"[255, 128, 0]",lower,left_hip
13,left_knee,13,"[0, 255, 0]",lower,right_knee
14,right_knee,14,"[255, 128, 0]",lower,left_knee
15,left_ankle,15,"[0, 255, 0]",lower,right_ankle
16,right_ankle,16,"[255, 128, 0]",lower,left_ankle
