SA,oks_average
36_M160B,505.37849026151906
06_M160B,473.81709113337917
59_M160B,448.8880800886904
25_M160B,421.1780973590926
48_F170B,359.6274270730549
37_M160B,338.9358853489541
22_M160B,327.8740188170591
24_M160B,321.10756729479715
11_M160B,314.1632803437573
19_M160B,273.3015262300842
04_M160B,267.4738810180026
61_M160B,262.14927278182137
07_M160B,257.8919542747875
31_M160B,232.68406723669787
64_M160B,140.49818678303154
50_M160B,112.98343466463808
33_F170A,106.81818462113158
12_M160B,93.62144948248347
33_M160B,90.27348322115736
25_F170B,72.83577967412116
42_M170A,72.46444903880533
37_F150B,68.11116452182421
32_F150B,65.58516130275689
42_F150A,62.825898516448326
25_M170A,62.53050785977379
51_F150A,62.51129717615812
33_F150A,60.20487216138697
42_F170A,59.363472045502746
12_F170D,56.89878162441735
39_M170A,53.733009667481184
21_F170D,53.00226237354243
33_M170A,52.198860590823365
42_M170B,52.0543542660507
33_M180A,51.13461266583486
40_M180B,50.79419224458512
45_M180B,50.02968022104117
68_M170A,49.570984981522976
68_M180D,48.610830637128345
42_M160C,47.898160817268064
39_M170B,47.62328619660368
21_F170C,47.551043126252196
39_M180B,47.2623164358008
04_F160B,47.04186251775156
32_M180A,46.83368308202725
32_F150C,46.613761190557994
40_F150C,45.55040800410353
61_F150A,45.44070689684952
04_F160D,45.37480806654545
42_F160B,44.94988784580984
52_M170B,44.77868045894005
36_M170A,44.75332397523865
04_F150B,44.20893150763448
43_M170D,43.780714414623425
42_M180A,43.626339762478736
43_F170D,42.87757386229008
37_F160B,42.86770990333876
31_F170D,42.58214217366322
48_F170C,42.43668107598459
34_F170D,42.31880310171535
16_M170A,42.29650940298751
43_M160A,42.15434887344214
37_F160A,42.15049723094493
51_M180B,42.144509202478176
43_M160C,41.898729487029414
33_F150B,41.13943815709364
63_M180A,41.10873057675253
21_M180A,41.02712773900929
33_F170D,40.762596673821704
42_F170C,40.05456842253012
33_F160D,40.040004915647074
28_M160B,39.955089596535856
39_F150B,39.84477522652326
51_M170A,39.8429327949381
04_M170D,39.75923708443934
51_F170D,39.73348283703217
16_M180A,39.396159532699876
21_F150B,39.255035470845826
16_M160D,39.184795131536816
21_M170D,39.134833331415955
33_M180B,38.967450453805135
36_M180D,38.50728332274028
21_M170A,38.345715154239414
42_M180B,38.2847329289963
23_M170D,37.952830698906496
50_M160D,37.71794731278787
48_M170D,37.64471752724995
46_M160A,37.57252821027781
52_M160B,37.32838783837085
48_F160B,37.317534651810746
70_M180D,37.06451336280628
70_F150A,37.049302129232416
56_M170B,36.894948877338116
23_M170A,36.437136346755764
33_M170D,36.39669981853912
21_M170B,36.20813936212545
61_F150C,36.205321709056705
59_F160B,36.09036371951212
23_M160C,36.03737396027914
09_F150B,35.86068736496285
69_F170D,35.620176127369824
53_F160C,35.517334335542685
45_F170D,35.3056023443309
61_F170A,35.29651999804329
51_M170B,35.25775262773804
14_F170D,35.216261457059794
61_F160C,35.19700179394661
34_M170D,35.072471220219185
13_M170A,35.003865331320036
26_F170D,34.91173560727785
59_F160D,34.905379234571676
50_M160C,34.83010261690289
31_M160A,34.817912741933576
04_F170D,34.80221039343399
52_F170A,34.78204308982192
23_M170B,34.75933615442378
34_M180B,34.66445608216689
39_F170D,34.65029052809636
15_F160B,34.567100355996516
40_F160D,34.53608504372813
31_M180B,34.41941735997519
31_M170A,34.02830175648253
52_F160C,34.013479568771665
15_F160A,33.926131948541574
53_M160B,33.89126338368379
34_M170B,33.84850258726079
26_M160C,33.728679837376305
15_M160D,33.66686930668595
46_F160B,33.43207592994909
36_M180A,33.428789706907715
48_F150C,33.39878004910728
40_F160B,33.33272742617381
50_F150C,33.30841872565796
21_F160D,33.25745843031822
59_M170A,33.25218912087267
23_F160B,33.199035124667525
16_F170C,33.18309091679713
61_M160D,33.160293086730945
16_M160C,33.05326068759446
60_F150A,33.04414875841295
28_M170A,33.02817885040224
13_F170D,33.00689641674206
21_M180D,32.939586929952576
48_F150B,32.9022045422893
52_M160A,32.890734247506614
61_F160B,32.83752174996296
61_M170A,32.82697848141667
61_F160D,32.6444717516055
21_F170A,32.62018762305251
34_M160D,32.61447524408931
50_F170C,32.511112995507716
49_M170D,32.502629761880236
50_M160A,32.29873470628709
33_M180D,32.24818905334887
33_M170B,32.21200896543998
36_F170D,32.17777237768983
48_F170D,32.004160963632295
12_F160B,32.00164643102196
61_F170D,31.992792828697482
21_M160A,31.93701270377463
42_M160A,31.827318489151
60_F160C,31.7782112150387
47_F170A,31.74340352769414
33_M160C,31.70727383856936
16_F160B,31.64791493359972
60_M160D,31.591199405440143
53_M160A,31.542883083672624
23_M180B,31.53832942457943
15_M180A,31.311026934640104
44_M160D,31.260878564620207
32_M160C,31.163356260881976
21_M180B,31.15289327536187
59_F170A,31.06714522495336
15_M170B,31.036600436395567
31_M160C,30.981522362739874
15_M160C,30.907196195964087
57_M160A,30.89532751672644
12_M180B,30.86612514261098
39_F150D,30.795658080204365
66_M180D,30.713391998211794
47_F170D,30.672919911799074
37_M180D,30.659462628364604
34_M160C,30.658843402429312
13_F150C,30.36009911308658
13_F170B,30.287113380171075
13_M160D,30.271295522573364
52_M180D,30.21478110750487
23_M180A,30.18548762498497
04_F160A,30.108748917397243
61_M160A,30.05358300049969
70_M170A,30.051596042206057
