SA,oks_average
40_F160C,16.49759801428093
35_M180A,13.553494830170221
09_M170D,13.548739019074269
40_F170A,13.415876563076697
45_M180D,13.377864527468807
47_F160B,13.043790592386419
25_M180A,12.378764303706367
15_M160B,12.303474771338971
13_F170A,12.05526999748627
60_M170B,11.45610166008823
48_M180D,11.432908284799971
44_M160A,11.362840418427872
48_F160C,11.306916272097583
14_M160B,11.128011989128435
33_F170C,11.070819929610023
02_M160B,11.021121914904068
61_M180D,10.846309859647135
70_F150C,10.78413099853763
49_F150C,10.748647791178426
33_F160B,10.710645431187602
44_F160D,10.6745224197378
45_M170D,10.607265972757178
15_F150C,10.59803253326622
13_F150B,10.520082816398064
46_F160D,10.41430228718717
53_F160B,10.41332468639404
60_M160C,10.410735303236162
13_M170D,10.40106868434058
42_F160C,10.375656023982781
15_M170D,10.364157294605949
70_M160C,10.320190871474258
13_F150D,10.284538104558708
60_M160B,10.243155923664155
39_F160B,10.207227486264951
21_F160A,10.202075809392348
61_M180B,10.167566264553862
17_M160B,10.137300647567056
48_F160D,10.003070241845755
21_F160B,9.810854600328401
60_F160D,9.810793528876404
48_M160B,9.795784443705479
65_M170D,9.758646213725548
13_F160D,9.747536261201555
32_M180B,9.703228259981472
53_F150D,9.662600026973472
03_M160B,9.56971851430188
21_M160C,9.568310665946331
18_M160B,9.565962503194042
09_M170A,9.547563084388505
25_M170B,9.51952974333792
10_M160B,9.51337668383895
65_M180B,9.504535762198921
20_M180D,9.475460631644735
39_M180A,9.465128741435421
04_F170A,9.451527997263899
39_F170A,9.448789057615835
21_F150A,9.446129941940592
61_M170D,9.426362543634609
26_F150A,9.415093954566935
57_F170D,9.359122003838042
13_M160C,9.351882248021878
02_M170D,9.348256575979567
61_M160C,9.295755941628421
47_F160D,9.285392329109735
02_F170B,9.254680832926931
20_M160B,9.21914404029066
07_F170A,9.166499105352187
70_F160D,9.147063017907502
66_F160C,9.111025152230212
17_F170B,9.047116647432427
28_F150D,9.009775000278898
32_M160D,8.972672505233474
23_M160D,8.965855777727844
29_M170B,8.957276911263751
61_M170B,8.940692181903902
32_M180D,8.933480885626361
31_F150C,8.925827494240075
04_F170C,8.921604602202546
68_F150C,8.920250359112021
57_M160B,8.918744296015175
04_M180D,8.902874886866972
53_M160C,8.901995551689962
52_M170D,8.881023242986679
05_M160B,8.872964509316535
39_M170D,8.861907822206682
34_F170A,8.853176494489686
29_F170A,8.809616272192718
42_M160D,8.801007438111027
07_M180B,8.787078821798621
69_F170A,8.77751891172262
39_F150A,8.764234516780318
20_F170A,8.762887542885808
25_F170A,8.760265306196889
20_F170B,8.739038351505776
11_F160D,8.737152019014065
58_F170A,8.735846054236216
39_M180D,8.687249396488172
07_M180A,8.676343186854748
60_M180B,8.647080786199743
03_F170B,8.625756811413149
29_F150B,8.6242105052974
70_M180A,8.617703463247091
67_F170A,8.61331126300159
30_F170D,8.595269609331021
20_F160B,8.565039281267627
44_M180B,8.535874703128698
48_F170A,8.508930728700188
06_M180B,8.501719243010465
04_M180B,8.497101713701536
30_M170B,8.469615510197455
41_F160C,8.4650523415949
59_M160D,8.444924769196353
23_F150C,8.433973777949275
07_M170D,8.428896687519327
27_M160B,8.421116051051714
25_F170C,8.402857375352669
16_M180B,8.392647690093808
22_F160B,8.376648580590883
04_M160C,8.371422720278861
06_M170D,8.356077391702122
30_M180D,8.341162908592905
35_F150B,8.338695121710472
26_F160B,8.323608219531595
29_F170B,8.291435012018724
07_M170B,8.2898313389388
27_M180D,8.288745961677543
70_M180B,8.280113260389697
56_M180A,8.266664772543276
62_F170A,8.263608921247961
30_M160B,8.26078545703536
47_M180B,8.25485916049317
07_F160B,8.249588748344495
14_F170B,8.241442170790766
62_M160B,8.22443635780926
53_M160D,8.195729262861146
37_M180B,8.1722896634363
62_M170A,8.166361052390425
20_M170B,8.155097073182958
59_F170D,8.133774252078496
70_F150D,8.12761140259265
32_F170A,8.115330640926054
36_M170B,8.0981224471202
20_F160D,8.080225027069586
48_M180A,8.077136871967914
02_M180B,8.064399062391653
48_M160C,8.06072147157203
04_F150A,8.058621458367893
36_F160B,8.039838266054154
16_F150B,8.027348707516875
57_M160C,8.005000835978787
04_M170B,8.004232665212335
66_M180A,7.999548947335776
40_F170C,7.995831261606196
47_F160A,7.99579842772369
06_F160D,7.991532498874007
65_M160B,7.9842838706833135
07_M170A,7.977227511350934
68_M160B,7.973129780402535
07_F160A,7.97134915258361
07_F150B,7.960226130389117
21_F170B,7.9414985525252915
22_M180B,7.939652029422079
70_M160B,7.898541377231047
36_M160A,7.87734965276787
47_F150B,7.87239508816278
27_M170B,7.866832668872071
64_M180A,7.86620649990491
70_M170B,7.8607218118050906
60_M170D,7.857249346912169
29_M160D,7.84372801927951
07_M180D,7.811179367650984
59_M170B,7.807608882007988
04_M170A,7.805872746201935
29_M180A,7.802569879737499
40_M170B,7.800564815358224
56_M170D,7.797753162882899
34_F160D,7.794752071414983
36_M180B,7.79454194311617
27_F170A,7.793781059605557
63_F160C,7.786044496498851
29_M180D,7.772084503829458
07_F150A,7.742766094062539
36_M160D,7.734847482308606
33_M160D,7.731772319346978
27_F150C,7.728509058243373
53_M170D,7.717680806727079
52_M180A,7.716856770268036
12_M180A,7.711371159521057
62_M160D,7.709820034046945
55_M160B,7.697987906767544
20_M180B,7.697462135929654
09_M180B,7.694820752100452
32_M170A,7.693173432843212
20_M160D,7.682309880773062
70_F160B,7.676636149187232
58_M180A,7.675396266078491
53_F170B,7.670958961544487
