SAC,oks_average
59_F170D_4,17.503805606797336
33_F160B_8,16.772587800224724
40_F160C_4,16.49759801428093
25_M180A_2,16.039732580191792
59_M160D_4,15.647591260614762
09_M170D_5,15.647020220435895
45_M180D_6,15.292563924865691
26_F150A_8,14.391135819960862
15_F150C_4,14.31566993158954
13_F170A_6,14.14126064387084
59_M160C_4,14.11568885568736
40_F170A_6,14.060069435629224
40_F170A_8,13.796824812472275
60_M160C_4,13.796132229226414
48_M180D_6,13.777186628087247
35_M180A_6,13.553494830170221
17_M160B_8,13.527354927522861
02_M160B_8,13.513558835904721
18_M160B_8,13.463708212202926
20_M160B_6,13.436338724291
70_M160C_8,13.428329691879926
61_M180D_6,13.426790096728087
40_F170A_5,13.425700658778101
45_M180D_4,13.251876350987247
33_F170C_8,13.219984035577362
14_M160B_6,13.16363657905209
03_M160B_8,13.136773751921888
60_M170B_4,13.071337790380014
44_F160D_5,13.046232495946322
47_F160B_6,13.043790592386419
49_F150C_2,12.941194965673365
02_F170B_5,12.926095417266412
48_F160C_2,12.860400826718022
23_M160D_3,12.81441932970183
69_M170B_6,12.715905550966426
15_M160B_6,12.702820701588267
45_M170D_8,12.691188172882692
44_M160A_8,12.681341545485717
42_F160C_6,12.646167060939927
61_M180B_4,12.476237921849407
17_M160B_6,12.47433520026049
44_M160A_7,12.462857433658513
40_F170A_7,12.380911345427107
49_F150C_4,12.37225745930144
02_M160B_6,12.363101413868828
59_M170B_4,12.34885879942732
60_F160D_3,12.33137564276534
13_M160C_8,12.32286206013163
13_M170D_2,12.170953013581046
17_F170B_6,12.085442922240249
23_M160D_7,12.0837377295974
10_M160B_6,12.076922160650533
60_M160B_8,12.030312859988666
13_F150D_2,12.017309489420937
39_M180A_2,11.969521118277601
13_F170A_1,11.96892442882717
59_M180B_4,11.937372732720707
15_M160B_5,11.904128841089682
15_F150C_2,11.87906655570908
33_F170C_6,11.864339721846601
47_F150B_6,11.807964818842285
70_F160D_3,11.777361068390165
48_F160C_3,11.776275505424243
63_M180B_6,11.765880831749357
21_M160C_4,11.7608395565025
13_M170D_4,11.70465740206182
45_M180D_5,11.589153306553465
61_M170D_6,11.564296814204617
15_M170D_2,11.556671017422632
32_M180D_4,11.542393338753975
15_F150C_3,11.515745220956013
48_M180D_4,11.492836761880614
65_M180B_4,11.483444413504156
61_M180B_6,11.466265314752224
09_M170D_3,11.45045781771263
48_M160B_3,11.449826568983314
68_F150C_4,11.447079511881181
48_F160C_8,11.44483728590902
48_F160D_2,11.442625071297309
61_M180D_3,11.43846573238085
70_M180B_5,11.436924480870264
70_F150C_6,11.423495087961983
57_M160B_7,11.420639772859142
13_F150B_2,11.418682405960027
70_F150C_4,11.414233042860516
65_M180B_6,11.40581234859473
03_F170B_5,11.39961248810358
09_M170A_8,11.381584679243502
13_F150B_3,11.380013980607849
20_M180D_4,11.244782084067515
18_M160B_7,11.241652802640978
22_M180B_6,11.223574996522576
21_F150A_6,11.201690615041091
15_M170D_6,11.153468150901533
13_F170A_8,11.131807369506337
