SA,SAC,cnt,SA_rank,SAC_rank
40_F160C,40_F160C_4,960,0,2
35_M180A,35_M180A_6,345,1,15
09_M170D,09_M170D_5,255,2,5
09_M170D,09_M170D_3,255,2,74
40_F170A,40_F170A_6,210,3,11
40_F170A,40_F170A_8,210,3,12
40_F170A,40_F170A_5,210,3,22
40_F170A,40_F170A_7,210,3,42
45_M180D,45_M180D_6,270,4,6
45_M180D,45_M180D_4,270,4,23
45_M180D,45_M180D_5,270,4,66
47_F160B,47_F160B_6,719,5,29
25_M180A,25_M180A_2,465,6,3
25_M180A,25_M180A_5,465,6,111
25_M180A,25_M180A_1,465,6,168
15_M160B,15_M160B_6,360,7,35
15_M160B,15_M160B_5,360,7,57
13_F170A,13_F170A_6,360,8,9
13_F170A,13_F170A_1,345,8,55
13_F170A,13_F170A_8,345,8,94
13_F170A,13_F170A_5,360,8,107
60_M170B,60_M170B_4,405,9,27
60_M170B,60_M170B_3,298,9,124
60_M170B,60_M170B_7,298,9,175
48_M180D,48_M180D_6,435,10,14
48_M180D,48_M180D_4,268,10,71
48_M180D,48_M180D_8,268,10,230
48_M180D,48_M180D_3,268,10,317
44_M160A,44_M160A_8,165,11,37
44_M160A,44_M160A_7,285,11,41
44_M160A,44_M160A_2,165,11,214
44_M160A,44_M160A_1,165,11,243
48_F160C,48_F160C_2,930,12,32
48_F160C,48_F160C_3,870,12,62
48_F160C,48_F160C_8,930,12,77
48_F160C,48_F160C_1,870,12,362
14_M160B,14_M160B_6,405,13,25
14_M160B,14_M160B_7,405,13,101
14_M160B,14_M160B_4,405,13,115
14_M160B,14_M160B_2,405,13,280
33_F170C,33_F170C_8,420,14,24
33_F170C,33_F170C_6,420,14,59
33_F170C,33_F170C_1,420,14,198
33_F170C,33_F170C_5,420,14,322
02_M160B,02_M160B_8,405,15,17
02_M160B,02_M160B_6,405,15,44
02_M160B,02_M160B_4,405,15,315
02_M160B,02_M160B_1,405,15,377
61_M180D,61_M180D_6,208,16,21
61_M180D,61_M180D_3,208,16,79
61_M180D,61_M180D_8,435,16,106
61_M180D,61_M180D_5,435,16,145
61_M180D,61_M180D_7,208,16,579
70_F150C,70_F150C_6,900,17,81
70_F150C,70_F150C_4,900,17,84
70_F150C,70_F150C_2,900,17,102
70_F150C,70_F150C_3,900,17,324
49_F150C,49_F150C_2,840,18,30
49_F150C,49_F150C_4,840,18,43
49_F150C,49_F150C_3,658,18,97
49_F150C,49_F150C_1,840,18,1512
33_F160B,33_F160B_8,509,19,1
33_F160B,33_F160B_2,509,19,704
33_F160B,33_F160B_1,509,19,961
44_F160D,44_F160D_5,540,20,28
44_F160D,44_F160D_8,540,20,253
44_F160D,44_F160D_4,540,20,297
45_M170D,45_M170D_8,570,21,36
45_M170D,45_M170D_4,570,21,109
45_M170D,45_M170D_6,570,21,247
45_M170D,45_M170D_5,570,21,340
15_F150C,15_F150C_4,900,22,8
15_F150C,15_F150C_2,930,22,58
15_F150C,15_F150C_3,900,22,70
15_F150C,15_F150C_7,930,22,703
15_F150C,15_F150C_6,930,22,915
13_F150B,13_F150B_2,268,23,83
13_F150B,13_F150B_3,268,23,88
13_F150B,13_F150B_8,268,23,417
46_F160D,46_F160D_6,990,24,140
46_F160D,46_F160D_8,990,24,158
53_F160B,53_F160B_4,690,25,105
53_F160B,53_F160B_2,690,25,118
53_F160B,53_F160B_6,690,25,174
53_F160B,53_F160B_8,690,25,211
60_M160C,60_M160C_4,375,26,13
60_M160C,60_M160C_7,375,26,250
60_M160C,60_M160C_6,375,26,277
60_M160C,60_M160C_5,375,26,437
13_M170D,13_M170D_2,328,27,48
13_M170D,13_M170D_4,328,27,65
13_M170D,13_M170D_3,328,27,1025
42_F160C,42_F160C_6,990,28,38
42_F160C,42_F160C_8,990,28,640
15_M170D,15_M170D_2,238,29,68
15_M170D,15_M170D_6,238,29,93
15_M170D,15_M170D_8,238,29,524
70_M160C,70_M160C_8,390,30,20
70_M160C,70_M160C_1,390,30,342
70_M160C,70_M160C_5,405,30,500
13_F150D,13_F150D_2,420,31,53
13_F150D,13_F150D_4,420,31,477
60_M160B,60_M160B_8,405,32,52
60_M160B,60_M160B_1,405,32,503
39_F160B,39_F160B_4,359,33,108
39_F160B,39_F160B_1,359,33,282
21_F160A,21_F160A_2,900,34,172
61_M180B,61_M180B_4,390,35,39
61_M180B,61_M180B_6,420,35,73
61_M180B,61_M180B_5,420,35,144
61_M180B,61_M180B_8,390,35,379
61_M180B,61_M180B_7,390,35,1000
17_M160B,17_M160B_8,405,36,16
17_M160B,17_M160B_6,405,36,40
17_M160B,17_M160B_2,405,36,438
17_M160B,17_M160B_3,405,36,2168
48_F160D,48_F160D_2,899,37,78
48_F160D,48_F160D_1,899,37,165
48_F160D,48_F160D_4,899,37,170
48_F160D,48_F160D_7,1080,37,262
48_F160D,48_F160D_8,1080,37,406
21_F160B,21_F160B_6,1079,38,185
21_F160B,21_F160B_8,1079,38,261
60_F160D,60_F160D_3,569,39,46
60_F160D,60_F160D_7,569,39,1051
48_M160B,48_M160B_3,405,40,75
48_M160B,48_M160B_4,420,40,204
48_M160B,48_M160B_5,405,40,664
65_M170D,65_M170D_5,555,41,155
65_M170D,65_M170D_3,555,41,212
65_M170D,65_M170D_6,555,41,356
13_F160D,13_F160D_5,870,42,138
13_F160D,13_F160D_7,870,42,363
32_M180B,32_M180B_6,420,43,148
32_M180B,32_M180B_5,420,43,207
32_M180B,32_M180B_8,390,43,435
53_F150D,53_F150D_3,1050,44,120
53_F150D,53_F150D_2,1050,44,164
53_F150D,53_F150D_5,1050,44,659
03_M160B,03_M160B_8,405,45,26
03_M160B,03_M160B_1,405,45,577
03_M160B,03_M160B_5,405,45,1026
21_M160C,21_M160C_4,225,46,64
21_M160C,21_M160C_8,225,46,346
21_M160C,21_M160C_1,225,46,760
18_M160B,18_M160B_8,405,47,18
18_M160B,18_M160B_7,405,47,90
18_M160B,18_M160B_4,405,47,221
18_M160B,18_M160B_2,405,47,306
